fault_id,probability,failed,passed_correct,passed_wrong_sdc
10,0.40,864,0,0
10,0.45,864,0,0
10,0.50,864,0,0
10,0.55,864,0,0
10,0.60,864,0,0
10,0.65,864,0,0
10,0.70,864,0,0
10,0.75,864,0,0
10,0.80,864,0,0
10,0.85,864,0,0
10,0.90,864,0,0
10,0.95,864,0,0
10,1.00,864,0,0
11,0.00,0,864,0
11,0.05,862,2,0
11,0.10,,,
11,0.15,,,
11,0.20,,,
11,0.25,,,
11,0.30,,,
11,0.35,,,
11,0.40,,,
11,0.45,,,
11,0.50,,,
11,0.55,,,
11,0.60,,,
11,0.65,,,
11,0.70,,,
11,0.75,,,
11,0.80,,,
11,0.85,,,
11,0.90,,,
11,0.95,,,
11,1.00,,,
12,0.00,0,864,0
12,0.05,864,0,0
12,0.10,864,0,0
12,0.15,864,0,0
12,0.20,864,0,0
12,0.25,864,0,0
12,0.30,864,0,0
12,0.35,864,0,0
12,0.40,864,0,0
12,0.45,864,0,0
12,0.50,864,0,0
12,0.55,864,0,0
12,0.60,864,0,0
12,0.65,864,0,0
12,0.70,864,0,0
12,0.75,864,0,0
12,0.80,864,0,0
12,0.85,864,0,0
12,0.90,864,0,0
12,0.95,864,0,0
12,1.00,864,0,0
13,0.00,0,864,0
13,0.05,864,0,0
13,0.10,864,0,0
13,0.15,864,0,0
13,0.20,864,0,0
13,0.25,864,0,0
13,0.30,864,0,0
13,0.35,864,0,0
13,0.40,864,0,0
13,0.45,864,0,0
13,0.50,864,0,0
13,0.55,864,0,0
13,0.60,864,0,0
13,0.65,864,0,0
13,0.70,864,0,0
13,0.75,864,0,0
13,0.80,864,0,0
13,0.85,864,0,0
13,0.90,864,0,0
13,0.95,864,0,0
13,1.00,864,0,0
14,0.00,0,864,0
14,0.05,864,0,0
14,0.10,864,0,0
14,0.15,864,0,0
14,0.20,864,0,0
14,0.25,864,0,0
14,0.30,864,0,0
14,0.35,864,0,0
14,0.40,864,0,0
14,0.45,864,0,0
14,0.50,864,0,0
14,0.55,864,0,0
14,0.60,864,0,0
14,0.65,864,0,0
14,0.70,864,0,0
14,0.75,864,0,0
14,0.80,864,0,0
14,0.85,864,0,0
14,0.90,864,0,0
14,0.95,864,0,0
14,1.00,864,0,0
15,0.00,0,864,0
15,0.05,864,0,0
15,0.10,864,0,0
15,0.15,864,0,0
15,0.20,864,0,0
15,0.25,864,0,0
15,0.30,864,0,0
15,0.35,864,0,0
15,0.40,864,0,0
15,0.45,864,0,0
15,0.50,864,0,0
15,0.55,864,0,0
15,0.60,864,0,0
15,0.65,864,0,0
15,0.70,864,0,0
15,0.75,864,0,0
15,0.80,864,0,0
15,0.85,864,0,0
15,0.90,864,0,0
15,0.95,864,0,0
15,1.00,864,0,0
16,0.00,0,864,0
16,0.05,0,864,0
16,0.10,0,864,0
16,0.15,0,864,0
16,0.20,0,864,0
16,0.25,0,864,0
16,0.30,0,864,0
16,0.35,0,864,0
16,0.40,0,864,0
